Sl No.,Course,Instructor name,Department,Programm,Branch/Semester/Section,Offered L-T-P,Time Table
189,GPC513(Geoelectrical Methods Practical),Sanjit Kumar Pal,agp,int.m.tech,agp/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         10:00-10:50                                         AGP Annexure Ground Floor                                                                                                                                                   Thursday                                         11:00-11:50                                         AGP Annexure Ground Floor
190,GPC515(Earthquake Seismology and Well Logging Practical),"Niptika  Jana,Partha  Pratim Mandal",agp,int.m.tech,agp/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         11:00-11:50                                         AGP 516                                                                                                                                                   Wednesday                                         10:00-10:50                                         AGP 516
191,MCC511(Database Management Systems),Sudhakar  Kumawat,mc,int.m.tech,m&c/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         03:00-03:50                                         LC-II-G13                                                                                                                                                   Tuesday                                         03:00-03:50                                         LC-II-G13                                                                                                                                                   Wednesday                                         03:00-03:50                                         LC-II-G13
192,MCC513(Database Management Systems Practical),Sudhakar  Kumawat,mc,int.m.tech,m&c/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         10:00-10:50                                         NLHC Computer lab 3                                                                                                                                                   Friday                                         11:00-11:50                                         NLHC Computer lab 3
193,MCC535(Soft Computing Techniques),Santimoy  Kundu,mc,int.m.tech,m&c/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         05:00-05:50                                         LC-I-C11                                                                                                                                                   Thursday                                         04:00-04:50                                         LC-I-C11                                                                                                                                                   Friday                                         05:00-05:50                                         LC-I-C11
194,MCD503(Integral Equations and Calculus of Variations),Ramanababu  Kaligatla,mc,int.m.tech,m&c/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                         LC-II-C20                                                                                                                                                   Tuesday                                         05:00-05:50                                         LC-II-C20                                                                                                                                                   Wednesday                                         05:00-05:50                                         LC-II-C20
195,MCD508(Theory of Computation),Dinabandhu  Pradhan,mc,int.m.tech,m&c/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         04:00-04:50                                         LC-II-G11                                                                                                                                                   Thursday                                         03:00-03:50                                         LC-II-G11                                                                                                                                                   Friday                                         03:00-03:50                                         LC-II-G11
196,MCD558(Wavelets: Theory and Applications),Akhilesh  Prasad,mc,int.m.tech,m&c/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                                                                                                                                                                            Tuesday                                         05:00-05:50                                                                                                                                                                                            Wednesday                                         05:00-05:50
197,MCO402(Modelling and Simulation ),Ranjit Kumar Upadhyay,mc,int.m.tech,m&c/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         LC-II-G10                                                                                                                                                   Thursday                                         05:00-05:50                                         LC-II-G10                                                                                                                                                   Friday                                         04:00-04:50                                         LC-II-G10
198,CSI101(Computer Programming),",Tanusree  Kaibartta",comm,comm,comm/2/ (),2-1-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                                                                                                                                                                            Wednesday                                         05:00-05:50                                                                                                                                                                                            Friday                                         03:00-03:50
199,CSI102(Computer Programming Lab),",Partha Pratim Roy",comm,comm,comm/2/ (),0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                                                                                                                                                                            Tuesday                                         10:00-10:50
200,MCI102(Mathematics - II),",Abhishek Kumar Singh",comm,comm,comm/2/ (),3-1-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         10:00-10:50                                                                                                                                                                                            Wednesday                                         11:00-11:50                                                                                                                                                                                            Thursday                                         12:00-12:50
201,MCI103(Numerical Methods),",Neeru   Bala",comm,comm,comm/2/ (),2-2-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         10:00-10:50                                                                                                                                                                                            Thursday                                         09:00-09:50                                                                                                                                                                                            Friday                                         09:00-09:50
202,PHI101(Physics),",Amitava  Adak,Sudeshna  Sen,Tusharkanti  Dey",comm,comm,comm/2/ (),3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                                                                                                                                                                            Wednesday                                         11:00-11:50                                                                                                                                                                                            Thursday                                         11:00-11:50
203,PHI102(Physics Lab),",Prashant Kumar Sharma",comm,comm,comm/2/ (),0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         03:00-03:50                                                                                                                                                                                            Friday                                         02:00-02:50
204,HSI101(Communication Skills),",Nirban  Manna",comm,comm,comm/1/ (),1-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                                                                                                                                                                            Tuesday                                         03:00-03:50                                                                                                                                                                                            Friday                                         11:00-11:50
205,CSC201(Data Structures ),Arup Kumar Pal,cse,b.tech,cse/3/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                                                                                                                                                                            Tuesday                                         12:00-12:50                                                                                                                                                                                            Wednesday                                         12:00-12:50
206,CSC204(Data Structures Lab ),Arup Kumar Pal,cse,b.tech,cse/3/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         03:00-03:50                                                                                                                                                                                            Monday                                         02:00-02:50
207,CSC208(Theory of Computation),Rahul Gangopadhyay,cse,b.tech,cse/4/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                                                                                                                                                                            Tuesday                                         12:00-12:50                                                                                                                                                                                            Wednesday                                         10:00-10:50
208,CSC209(Operating Systems),Jaishree Mayank,cse,b.tech,cse/4/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                                                                                                                                                                            Tuesday                                         10:00-10:50                                                                                                                                                                                            Thursday                                         09:00-09:50
209,CSC211(Operating Systems Lab),Jaishree Mayank,cse,b.tech,cse/4/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                                                                                                                                                                            Tuesday                                         03:00-03:50
210,CSE202(Object Oriented Programming),"Partha Pratim Roy  ,Pranay Kumar Saha",cse,b.tech,cse/4/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         09:00-09:50                                                                                                                                                                                            Tuesday                                         09:00-09:50                                                                                                                                                                                            Wednesday                                         09:00-09:50
211,CSC301(Database Management Systems),Annavarapu Chandra Sekhara Rao,cse,b.tech,cse/5/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         10:00-10:50                                                                                                                                                                                            Tuesday                                         11:00-11:50                                                                                                                                                                                            Thursday                                         10:00-10:50
212,CSC303(Database Management Systems Lab),Annavarapu Chandra Sekhara Rao,cse,b.tech,cse/5/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                                                                                                                                                                            Monday                                         03:00-03:50
213,CSC503(Algorithmic Graph Theory),Haider  Banka,cse,m.tech,cse/1/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         03:00-03:50                                                                                                                                                                                            Tuesday                                         02:00-02:50                                                                                                                                                                                            Friday                                         02:00-02:50
214,ECC203(Digital Circuits and System Design),Jitendra  Kumar,ece,b.tech,ece/3/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                                                                                                                                                                            Tuesday                                         12:00-12:50                                                                                                                                                                                            Wednesday                                         12:00-12:50
215,ECC204(Digital System Design Lab),Jitendra  Kumar,ece,b.tech,ece/3/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         03:00-03:50                                                                                                                                                                                            Monday                                         02:00-02:50
216,ECC206(Analog Circuits),Shalu  Rani,ece,b.tech,ece/4/,3-1-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         10:00-10:50                                                                                                                                                                                            Tuesday                                         11:00-11:50                                                                                                                                                                                            Thursday                                         10:00-10:50                                                                                                                                                                                            Friday                                         12:00-12:50
217,ECC207(Electromagnetic Theory),Santanu  Dwari,ece,b.tech,ece/4/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                                                                                                                                                                            Tuesday                                         12:00-12:50                                                                                                                                                                                            Wednesday                                         10:00-10:50
218,ECC210(Electronic Devices and Circuits Lab),Shalu  Rani,ece,b.tech,ece/4/,0-0-3,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                                                                                                                                                                            Monday                                         03:00-03:50                                                                                                                                                                                            Monday                                         05:00-05:50
219,ECC301(Principles of Communication Systems),Himanshu Bhusan Mishra,ece,b.tech,ece/5/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                                                                                                                                                                            Tuesday                                         10:00-10:50                                                                                                                                                                                            Thursday                                         09:00-09:50
220,ECC305(Communication System Lab),Himanshu Bhusan Mishra,ece,b.tech,ece/5/,0-0-3,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                                                                                                                                                                            Tuesday                                         03:00-03:50                                                                                                                                                                                            Tuesday                                         05:00-05:50
221,ECO561(Embedded System Design),Kaushik  Mazumdar,ece,b.tech,ece/7/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                                                                                                                                                                            Tuesday                                         04:00-04:50                                                                                                                                                                                            Wednesday                                         02:00-02:50
222,EEC204(Electrical Machines - I),Sethupathy   S,ee,b.tech,ee/4/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         10:00-10:50                                                                                                                                                                                            Tuesday                                         11:00-11:50                                                                                                                                                                                            Thursday                                         10:00-10:50
223,EEC274(Electrical Machines and Power lab),"Arijit  Baral,Vivekananda  Mukherjee",ee,b.tech,ee/4/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                                                                                                                                                                            Tuesday                                         03:00-03:50
224,PHD502(Computational Physics),Sudipto Singha Roy,phy,m.sc,phy/2/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         02:00-02:50                                                                                                                                                                                            Tuesday                                         02:00-02:50                                                                                                                                                                                            Friday                                         03:00-03:50
225,MCC203(Real Analysis),A Antony Selvan,mc,int.m.tech,m&c/3/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                                                                                                                                                                            Tuesday                                         12:00-12:50                                                                                                                                                                                            Wednesday                                         10:00-10:50
226,MNC207(Underground Metal Mining),Mohammad Soyeb Alam,me,b.tech,me/4/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         06:00-06:50                                                                                                                                                                                            Tuesday                                         06:00-06:50                                                                                                                                                                                            Wednesday                                         06:00-06:50
227,MNC208(Underground Coal Mining),R M Bhattacharjee,me,b.tech,me/4/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                                                                                                                                                                            Tuesday                                         10:00-10:50                                                                                                                                                                                            Thursday                                         09:00-09:50
228,MEC207(Dynamics of Machinery),Sanjoy K Ghoshal,mech,b.tech,mech/4/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                                                                                                                                                                            Tuesday                                         12:00-12:50                                                                                                                                                                                            Wednesday                                         10:00-10:50
229,MSC510(Corporate Finance),J K Pattanayak,msie,mba,mba/2/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         02:00-02:50                                                                                                                                                                                            Tuesday                                         03:00-03:50                                                                                                                                                                                            Thursday                                         05:00-05:50
230,MSC512(Operations Management),Krishnendu  Shaw,msie,mba,mba/2/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                                                                                                                                                                            Tuesday                                         05:00-05:50                                                                                                                                                                                            Wednesday                                         05:00-05:50
231,MSC513(Marketing Management),Bibhas  Chandra,msie,mba,mba/2/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         05:00-05:50                                                                                                                                                                                            Tuesday                                         04:00-04:50                                                                                                                                                                                            Friday                                         03:00-03:50
232,ESC503(MATLAB Programming for Numerical Computation),Tinesh  Pathania,ese,m.tech,ese/1/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         06:00-06:50                                                                                                                                                                                            Tuesday                                         06:00-06:50                                                                                                                                                                                            Wednesday                                         06:00-06:50
233,ESC507(Municipal Solid Waste Management),Madhumita  Patel,ese,m.tech,ese/2/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         08:00-08:50                                                                                                                                                                                            Thursday                                         08:00-08:50                                                                                                                                                                                            Friday                                         08:00-08:50
234,PEC206(Elements of Petroleum Production Engineering),Tarun Kumar Naiya,pe,b.tech,pe/4/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         06:00-06:50                                                                                                                                                                                            Tuesday                                         06:00-06:50                                                                                                                                                                                            Wednesday                                         06:00-06:50
235,PEC207(Petroleum Formation Evaluation),Neetish Kumar Maurya,pe,b.tech,pe/4/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         08:00-08:50                                                                                                                                                                                            Thursday                                         08:00-08:50                                                                                                                                                                                            Friday                                         08:00-08:50
236,PHC207(Nuclear Science and Engineering),Manu Kurian,phy,b.tech,ep/4/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         06:00-06:50                                                                                                                                                                                            Tuesday                                         06:00-06:50                                                                                                                                                                                            Wednesday                                         06:00-06:50
237,GLD528(Geotechnical Engineering),Rajendra Kumar Dubey,agl,m.sc.tech,agl/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         03:00-03:50                                         AGL-1                                                                                                                                                   Tuesday                                         03:00-03:50                                         AGL-1                                                                                                                                                   Wednesday                                         03:00-03:50                                         AGL-1
238,GLD530(Geodynamics),Joseph Rohan D'souza,agl,m.sc.tech,agl/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                                                                                                                                                                            Thursday                                         11:00-11:50                                                                                                                                                                                            Friday                                         11:00-11:50
239,GLD540(Geomorphology),Pintu Prusty,agl,m.sc.tech,agl/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         05:00-05:50                                                                                                                                                                                            Thursday                                         04:00-04:50                                                                                                                                                                                            Friday                                         05:00-05:50
